from_stop_id,to_stop_id,transfer_type,min_transfer_time
9174,10141,2,360
9174,9174,0,
3053,3906,2,120
3053,3334,2,120
3053,7643,2,120
3053,8021,2,120
3053,8032,2,120
3053,8998,2,120
3053,3927,2,120
3053,3904,2,120
3053,3533,2,120
3053,3204,0,
3053,3067,2,120
3053,3195,2,120
3053,3053,2,120
3053,3394,2,120
3385,3816,2,120
3385,8022,2,120
3385,8031,2,120
3385,8999,2,120
3385,3806,2,120
3385,3779,2,120
3385,3385,2,120
2123,908,0,
2123,2110,0,
962,965,0,
962,962,0,
11959,11952,0,
11557,11556,0,
10592,11407,0,
9981,10139,0,
3908,3782,2,600
3908,12238,2,300
3908,12234,0,
9714,9714,0,
3965,9255,0,
10145,9283,0,
10145,10145,0,
3982,3982,0,
1387,1709,2,120
1387,963,2,300
1387,2742,0,
1387,1482,0,
1387,1387,0,
1387,10415,2,120
8674,9505,0,
8674,8673,0,
8674,8760,0,
8674,8751,0,
1793,1563,0,
1793,1550,0,
1793,1793,0,
1736,1685,2,120
1736,1651,2,120
1736,11455,0,
1736,1905,2,120
1736,8070,0,
1736,8047,0,
1775,451,2,120
1775,452,2,120
1775,10873,2,120
1775,4143,2,120
1775,4381,2,120
1775,4119,2,120
1775,4067,2,120
1775,4163,2,120
1550,1563,0,
1550,1550,0,
1550,1793,0,
8673,9505,0,
8673,8743,2,480
8673,8673,0,
8673,8674,0,
8673,8760,0,
8673,8751,0,
1482,1709,2,120
1482,963,0,
1482,2742,0,
1482,1482,0,
1482,1387,0,
1482,10415,2,120
1708,1711,0,
1743,2760,0,
1743,1743,0,
1743,11323,0,
8743,9505,0,
8743,8743,0,
8743,8673,2,360
8743,8674,0,
1754,908,0,
1754,2110,2,360
1754,1754,0,
1754,2123,0,
12020,11941,2,120
12020,8020,2,120
12020,8033,2,120
12020,10860,2,120
12020,12022,0,
12020,12231,0,
12020,12230,0,
12020,11942,2,120
12020,11940,2,120
3964,9179,0,
3195,3906,0,
3195,3334,0,
3195,7643,0,
3195,8021,2,120
3195,8032,2,120
3195,8998,2,120
3195,3927,0,
3195,3904,0,
3195,3769,0,
3195,3533,2,120
3195,3204,2,120
3195,3067,0,
3195,3195,2,120
3195,3053,0,
3195,12235,0,
3195,12234,0,
3195,3394,0,
3198,3975,0,
3198,10132,2,300
3067,3906,2,120
3067,3334,2,120
3067,7643,2,120
3067,8021,2,120
3067,8032,2,120
3067,8998,2,120
3067,3927,2,120
3067,3904,2,120
3067,3769,2,120
3067,3533,2,120
3067,3204,0,
3067,3067,2,120
3067,3053,2,120
3067,3394,2,120
9179,9179,0,
9179,3964,0,
9179,3944,0,
9179,3943,0,
3479,3479,0,
11579,11408,2,420
11962,7645,2,540
11962,11962,0,
9239,9239,0,
9239,11114,0,
9235,9235,0,
10141,3900,0,
10141,10141,0,
10141,9174,0,
3831,3856,2,360
3831,3878,2,360
3831,3831,0,
3831,3898,2,360
11964,9376,0,
3843,3843,0,
3843,3890,0,
11958,11950,0,
3842,3842,0,
3842,9365,0,
8755,8685,0,
8755,8690,0,
